Concentration(uM)	Concentration(uM)	UpstrokeVelocity(mV/ms)	PeakVm(mV)	APD50(ms)	APD90(ms)	delta_APD90(%)
0	227.582	41.9181	236.936	289.807	0
0.001	227.579	41.9204	237.334	290.31	0.173692
3.237	228.206	44.273	554.86	1226.12	323.082
6.474	226.779	47.1443	2319.6	2707.01	834.073
9.711	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2
12.948	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2
32.37	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2
