Concentration(uM)	Concentration(uM)	UpstrokeVelocity(mV/ms)	PeakVm(mV)	APD50(ms)	APD90(ms)	dAp95%low,dAp90%low,dAp80%low,dAp70%low,dAp60%low,median_delta_APD90,dAp60%upp,dAp70%upp,dAp80%upp,dAp90%upp,dAp95%upp
0	227.582	41.9181	236.936	289.807	0,0,0,0,0,0,0,0,0,0,0
0.001	227.584	41.9182	236.938	289.809	6.71055e-05,0.00018899,0.000290551,0.000343435,0.000397453,0.000736579,0.0011919,0.00133087,0.00168515,0.0021857,0.00260914
0.00177828	227.584	41.9182	236.939	289.811	0.000131451,0.000342647,0.000528593,0.000593923,0.000710084,0.0012932,0.00211203,0.00236893,0.00300692,0.00386482,0.0046569
0.00316228	227.583	41.9182	236.941	289.814	0.000218054,0.000628784,0.000936433,0.00106005,0.00127437,0.0023141,0.00375624,0.00422974,0.00536605,0.00692272,0.00829388
0.00562341	227.583	41.9183	236.945	289.819	0.000456567,0.00114085,0.00169521,0.00192708,0.00228107,0.00412991,0.00674116,0.00758107,0.00957164,0.0123461,0.0148061
0.01	227.584	41.9185	236.953	289.828	0.000767267,0.00210174,0.0030581,0.00347094,0.0040819,0.00741992,0.012038,0.0135122,0.0170649,0.022007,0.0263891
0.0177828	227.583	41.9187	236.966	289.845	0.00135637,0.00307832,0.00522384,0.00608657,0.0072994,0.0132331,0.0214705,0.0240685,0.0304065,0.0391959,0.0469703
0.0316228	227.583	41.9192	236.989	289.875	0.00260467,0.00680324,0.00975215,0.0111386,0.0130145,0.0236123,0.0382329,0.0428724,0.0541009,0.0697458,0.0835262
0.0562341	227.584	41.9201	237.03	289.929	0.00470214,0.012151,0.0173298,0.0198745,0.0231761,0.0420355,0.0680245,0.0763603,0.0961689,0.124025,0.148536
0.1	227.584	41.9216	237.103	290.024	0.00839941,0.021679,0.0308071,0.0353961,0.0412216,0.0747878,0.12096,0.135622,0.170893,0.220417,0.263925
0.177828	227.584	41.9244	237.232	290.192	0.0150317,0.0386048,0.0547793,0.0629893,0.0732646,0.132973,0.214971,0.240989,0.303575,0.391399,0.468477
0.316228	227.582	41.9292	237.462	290.492	0.0268204,0.0687486,0.0973832,0.111997,0.130201,0.236269,0.381727,0.42793,0.538773,0.694171,0.830297
0.562341	227.584	41.9378	237.869	291.022	0.0478608,0.122434,0.172592,0.199051,0.231308,0.419442,0.676949,0.758836,0.954796,1.22847,1.4677
1	227.586	41.953	238.589	291.962	0.0854771,0.218067,0.307404,0.353484,0.410541,0.743546,1.1978,1.34265,1.68753,2.16591,2.58266
1.77828	227.377	41.9807	239.855	293.616	0.153066,0.379696,0.547576,0.627048,0.727781,1.31433,2.11131,2.36636,2.96899,3.7943,4.50904
3.16228	227.591	42.0272	242.071	296.516	0.275291,0.691823,0.99034,1.11008,1.28615,2.31502,3.69697,4.14291,5.18257,6.57497,7.76929
5.62341	227.598	42.1089	245.889	301.533	0.498768,1.23387,1.74809,1.95847,2.26337,4.0463,6.40168,7.17432,8.92844,11.1926,13.1049
10	227.61	42.2474	252.325	310.053	0.934458,2.19097,3.06808,3.43499,3.95666,6.98605,10.8654,12.217,15.0635,18.5362,21.4268
17.7828	227.638	42.4744	262.799	324.083	1.73606,3.86417,5.33179,6.08518,6.87008,11.8274,17.9264,20.2443,24.6403,29.5248,33.6208
31.6228	227.694	42.8253	278.971	346.169	3.4469,6.76926,9.14406,10.4758,11.7243,19.4483,28.5938,32.1654,38.6873,44.7318,50.1063
56.2341	227.802	43.3199	302.281	378.964	7.19952,11.8677,15.5491,17.8379,19.3812,30.7644,43.4841,48.5797,57.3599,63.5853,70.9307
100	228.002	43.9266	333.59	424.856	14.3615,20.3498,25.3704,28.8886,31.1658,46.5996,64.1545,69.2751,80.7356,88.3345,96.8502
