Concentration(uM)	qNet95low,qNet90low,qNet80low,qNet70low,qNet60low,qNet_median(C/F),qNet60upp,qNet70upp,qNet80upp,qNet90upp,qNet95upp
0	0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176
0.001	0.0690153,0.0690156,0.0690161,0.0690164,0.0690165,0.0690169,0.0690172,0.0690172,0.0690173,0.0690174,0.0690175
0.00177828	0.0690138,0.0690143,0.069015,0.0690155,0.0690157,0.0690164,0.069017,0.0690171,0.0690172,0.0690174,0.0690176
0.00316228	0.0690113,0.0690121,0.0690134,0.0690141,0.0690145,0.0690156,0.0690166,0.0690168,0.069017,0.0690173,0.0690177
0.00562341	0.0690069,0.0690085,0.0690107,0.0690119,0.0690126,0.0690144,0.0690162,0.0690165,0.0690169,0.0690175,0.0690182
0.01	0.0689994,0.0690022,0.0690062,0.0690083,0.0690095,0.0690127,0.0690157,0.0690163,0.0690171,0.0690181,0.0690197
0.0177828	0.068986,0.068991,0.0689981,0.0690019,0.069004,0.0690097,0.0690149,0.0690159,0.0690173,0.0690192,0.0690219
0.0316228	0.0689622,0.0689711,0.0689836,0.0689902,0.0689942,0.0690044,0.0690135,0.0690152,0.0690178,0.0690213,0.0690261
0.0562341	0.06892,0.0689358,0.0689577,0.0689697,0.0689768,0.0689949,0.0690107,0.0690137,0.0690184,0.069025,0.0690336
0.1	0.068845,0.068873,0.0689119,0.0689331,0.068946,0.0689782,0.0690058,0.0690114,0.0690198,0.0690316,0.0690469
0.177828	0.0687124,0.0687621,0.0688308,0.0688684,0.0688912,0.0689485,0.0689974,0.0690066,0.0690221,0.0690432,0.0690705
0.316228	0.0684783,0.0685636,0.0686872,0.0687537,0.0687942,0.0688958,0.0689823,0.0689984,0.0690263,0.0690637,0.0691121
0.562341	0.0680675,0.0682171,0.068434,0.0685516,0.0686219,0.0688025,0.0689557,0.0689842,0.0690338,0.0691004,0.0691854
1	0.0673543,0.0676129,0.0679901,0.0681977,0.0683211,0.0686381,0.0689084,0.0689593,0.0690468,0.0691627,0.0693136
1.77828	0.0661219,0.0665772,0.0672228,0.0675796,0.0677895,0.0683505,0.068825,0.068915,0.0690689,0.0692707,0.0695395
3.16228	0.0640851,0.064839,0.0659197,0.0665195,0.0668916,0.0678533,0.068678,0.0688374,0.0691051,0.0694582,0.0699306
5.62341	0.0608624,0.0620781,0.0637828,0.0647719,0.0653715,0.0670122,0.0684275,0.0687024,0.069179,0.0697711,0.0705704
10	0.0562797,0.0579015,0.0604688,0.0620808,0.0629615,0.0656401,0.0680345,0.0684868,0.0692819,0.0702598,0.0714912
17.7828	0.0502613,0.0523585,0.0557536,0.0580068,0.0592296,0.0635317,0.0673913,0.0681372,0.0693945,0.0708842,0.0726708
31.6228	0.0428487,0.0457646,0.0497913,0.0529216,0.0542717,0.0605812,0.0664754,0.0676076,0.0695041,0.0715897,0.0741632
56.2341	0.0349301,0.0384731,0.0429879,0.046905,0.0484974,0.0569614,0.0650389,0.0667204,0.0692844,0.072407,0.0746482
100	0.0278146,0.0321717,0.0364006,0.0406634,0.0432163,0.0531326,0.0631188,0.0653889,0.0683998,0.0717905,0.0749651
