Concentration(uM)	qNet95low   qNet90low   qNet80low   qNet70low   qNet60low   qNet_median(C/F)   qNet60upp   qNet70upp   qNet80upp   qNet90upp   qNet95upp
0	0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176
0.001	0.0686716   0.0687205   0.0687971   0.0688269   0.0688532   0.0689229   0.0689663   0.068977   0.0689933   0.0690054   0.0690205
0.00177828	0.0684052   0.0684921   0.0686277   0.0686796   0.0687269   0.0688467   0.0689272   0.0689458   0.0689744   0.0689959   0.0690232
0.00316228	0.0679369   0.0680903   0.0683293   0.0684192   0.0685036   0.0687153   0.0688579   0.0688901   0.0689408   0.0689791   0.0690279
0.00562341	0.0671212   0.0673894   0.0678064   0.0679626   0.0681114   0.0684835   0.0687355   0.0687914   0.0688815   0.0689491   0.069035
0.01	0.0657222   0.066184   0.0668976   0.0671677   0.0674286   0.0680766   0.0685198   0.0686171   0.0687762   0.068896   0.0690436
0.0177828	0.0633886   0.0641615   0.0653493   0.0658113   0.0662588   0.0673692   0.0681428   0.0683108   0.0685902   0.0688021   0.0690469
0.0316228	0.0596613   0.0609039   0.0628048   0.0635616   0.0643296   0.0661609   0.0674915   0.0677772   0.068264   0.068636   0.0690171
0.0562341	0.0541004   0.0559862   0.0590838   0.0600055   0.0613381   0.0641561   0.0663897   0.0668623   0.0676694   0.0683445   0.0688652
0.1	0.046685   0.0497785   0.0536118   0.0547474   0.0567136   0.0609883   0.064586   0.0653337   0.0666413   0.0678373   0.0686615
0.177828	0.0382403   0.041816   0.0460529   0.0478272   0.0504205   0.0563364   0.0617762   0.062904   0.0647553   0.0666254   0.0678168
0.316228	0.0298924   0.032988   0.0371827   0.0400783   0.0428669   0.0502145   0.0577061   0.0592849   0.0618155   0.0640165   0.0667414
0.562341	0.0229778   0.0255772   0.0304644   0.0326613   0.0346646   0.0432113   0.0521593   0.0543551   0.057591   0.0599112   0.0631603
1	0.0184972   0.0201141   0.0239428   0.026427   0.0286738   0.0364221   0.0453669   0.0483946   0.0518907   0.0541142   0.0595773
1.77828	0.0137808   0.0167362   0.0198939   0.0212787   0.0237875   0.0309796   0.0391305   0.0419532   0.0457905   0.0479264   0.0546105
3.16228	0.0125151   0.0149386   0.0176844   0.0196921   0.0215218   0.027546   0.034299   0.03648   0.0402085   0.0419511   0.0486199
5.62341	0.0120636   0.0152328   0.0182213   0.019498   0.0211223   0.0260451   0.0310384   0.0330054   0.035985   0.0370598   0.0425068
10	0.0131976   0.0174137   0.0193916   0.020959   0.0221046   0.0257974   0.0295588   0.0310674   0.032815   0.0340778   0.0371963
17.7828	0.016547   0.0192072   0.0211243   0.0222425   0.0231486   0.0260269   0.0289602   0.0294952   0.0309684   0.0319568   0.0330809
31.6228	0.0188957   0.0204815   0.0221075   0.0228671   0.0237323   0.0262081   0.0284198   0.0286421   0.0298794   0.0306169   0.0312492
56.2341	0.0193529   0.0203335   0.0216964   0.0228829   0.0236353   0.0259512   0.0277189   0.0280553   0.0286973   0.0296149   0.0300507
100	0.0170457   0.0177805   0.020268   0.0215495   0.0224191   0.0248691   0.0267041   0.0271492   0.0275555   0.0285856   0.0291412
