Concentration(uM)	qNet95low,qNet90low,qNet80low,qNet70low,qNet60low,qNet_median(C/F),qNet60upp,qNet70upp,qNet80upp,qNet90upp,qNet95upp
0	0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176
0.001	0.0686341,0.068723,0.0687884,0.0688288,0.0688593,0.0689229,0.0689687,0.0689764,0.0689887,0.0690035,0.0690195
0.00177828	0.06834,0.0684966,0.0686115,0.0686835,0.0687376,0.0688467,0.068931,0.0689446,0.068967,0.0689933,0.0690219
0.00316228	0.0678246,0.0680987,0.0683002,0.0684266,0.0685223,0.0687153,0.0688647,0.068888,0.0689281,0.0689752,0.0690257
0.00562341	0.0669307,0.0674042,0.0677546,0.0679747,0.0681437,0.0684835,0.0687468,0.0687878,0.0688587,0.0689427,0.0690323
0.01	0.06541,0.0662073,0.0668096,0.0671878,0.0674817,0.0680766,0.0685383,0.0686114,0.068736,0.0688843,0.0690386
0.0177828	0.0629034,0.0641991,0.0652036,0.0658473,0.0663414,0.0673692,0.0681722,0.0683023,0.0685197,0.0687788,0.0690436
0.0316228	0.0589818,0.0609793,0.0625651,0.063642,0.0644421,0.0661609,0.0675397,0.0677658,0.0681406,0.0685858,0.0690299
0.0562341	0.0533512,0.0561541,0.0584462,0.0601761,0.0613651,0.0641561,0.0664523,0.0668497,0.067483,0.0682303,0.0689379
0.1	0.0460779,0.0495496,0.0525284,0.0549757,0.0567501,0.0609883,0.0646392,0.0652783,0.0663389,0.0675778,0.0686677
0.177828	0.0379351,0.0417105,0.0451642,0.0481613,0.0504446,0.0563364,0.0618088,0.062786,0.0644686,0.0664029,0.0679255
0.316228	0.0294334,0.0332579,0.0372237,0.0401811,0.0428269,0.0502145,0.0576494,0.0588903,0.0613942,0.0641195,0.0666625
0.562341	0.022781,0.0256088,0.029368,0.0325722,0.0349065,0.0432113,0.0521442,0.0536743,0.0568219,0.0606706,0.0638358
1	0.0171633,0.0202117,0.0230267,0.0260649,0.0280685,0.0364221,0.0456355,0.0475633,0.0510252,0.0553191,0.0592713
1.77828	0.0136259,0.015995,0.0194619,0.0218386,0.0234948,0.0309796,0.0396002,0.0415406,0.0449537,0.0489491,0.0531174
3.16228	0.0117048,0.0143303,0.0175731,0.0199612,0.0213965,0.027546,0.0346305,0.036389,0.03931,0.0428915,0.0468395
5.62341	0.0115805,0.0143741,0.0177403,0.0198346,0.0210263,0.0260451,0.0313395,0.0328238,0.0350401,0.0378672,0.0409642
10	0.0132797,0.0164592,0.019238,0.0209049,0.0219349,0.0257974,0.0295853,0.0306435,0.0321172,0.0344383,0.036411
17.7828	0.0156363,0.0181938,0.020865,0.0221246,0.0229507,0.0260269,0.0287585,0.0294541,0.030525,0.0319509,0.0331933
31.6228	0.0181752,0.0199756,0.0218793,0.0228084,0.0236203,0.0262081,0.0282125,0.028642,0.0293782,0.0304445,0.0311628
56.2341	0.0183712,0.0198214,0.0216754,0.0225693,0.0233178,0.0259512,0.0276615,0.0280116,0.0284531,0.0293373,0.029986
100	0.0163001,0.0180151,0.019677,0.0210884,0.0219269,0.0248691,0.0266594,0.0271644,0.0276215,0.0282767,0.0288203
