Concentration(uM)	Concentration(uM)	UpstrokeVelocity(mV/ms)	PeakVm(mV)	APD50(ms)	APD90(ms)	dAp95%low,dAp90%low,dAp80%low,dAp70%low,dAp60%low,median_delta_APD90,dAp60%upp,dAp70%upp,dAp80%upp,dAp90%upp,dAp95%upp
0	227.582	41.9181	236.936	289.807	0,0,0,0,0,0,0,0,0,0,0
0.001	227.583	41.9181	236.938	289.809	0.000277133,0.000333994,0.00040213,0.000448182,0.000516259,0.000730902,0.00109996,0.00120443,0.00138043,0.00182265,0.00216547
0.00177828	227.581	41.9181	236.939	289.811	0.000488264,0.000618727,0.000727624,0.000800416,0.000924671,0.00130268,0.00197245,0.0021508,0.00248556,0.00322173,0.0038505
0.00316228	227.582	41.9181	236.942	289.814	0.000893611,0.00111268,0.00129373,0.00144105,0.00165526,0.00230887,0.00351562,0.00382884,0.00445144,0.0057569,0.00688445
0.00562341	227.583	41.9181	236.946	289.819	0.00108548,0.00176952,0.0023408,0.00256287,0.00294739,0.00413953,0.00627102,0.00683683,0.00795513,0.0102753,0.0122182
0.01	227.581	41.9181	236.954	289.828	0.0028502,0.00357887,0.00418334,0.00455123,0.00525634,0.00739321,0.0111756,0.0121863,0.01419,0.0183402,0.0217667
0.0177828	227.583	41.9182	236.967	289.845	0.0036074,0.00603165,0.0072707,0.00812093,0.00940408,0.0131763,0.0199142,0.0217104,0.0248675,0.0326429,0.0387821
0.0316228	227.584	41.9182	236.992	289.875	0.00917654,0.0113693,0.0132914,0.0144767,0.0167257,0.0234908,0.0354741,0.0386422,0.0449621,0.0580638,0.0689806
0.0562341	227.584	41.9183	237.035	289.928	0.0163839,0.0202608,0.0237053,0.0257922,0.0297227,0.0418304,0.0631342,0.0687472,0.0800224,0.103331,0.122661
0.1	227.582	41.9184	237.112	290.023	0.0291708,0.036011,0.0421772,0.0459056,0.052841,0.0744247,0.112269,0.122204,0.142268,0.183696,0.218044
0.177828	227.58	41.9187	237.249	290.191	0.0519268,0.0640416,0.0750296,0.0816531,0.0939726,0.132359,0.199614,0.217092,0.252869,0.32643,0.387346
0.316228	227.581	41.9192	237.491	290.489	0.0923688,0.113819,0.133334,0.145152,0.167041,0.235274,0.354709,0.385132,0.449097,0.579598,0.687448
0.562341	227.58	41.92	237.923	291.018	0.164225,0.202244,0.2368,0.257839,0.296831,0.417984,0.629873,0.682343,0.796735,1.02782,1.21802
1	227.577	41.9214	238.687	291.957	0.291836,0.359191,0.418978,0.457477,0.527019,0.741843,1.11715,1.20991,1.41075,1.81866,2.15208
1.77828	227.57	41.924	240.037	293.617	0.518204,0.637302,0.735788,0.810268,0.934509,1.31455,1.9724,2.14056,2.48983,3.20593,3.78419
3.16228	227.565	41.9284	242.413	296.539	0.919,1.1288,1.28152,1.43337,1.65331,2.3231,3.47752,3.77236,4.32168,5.61522,6.60015
5.62341	227.553	41.9361	246.561	301.65	1.62622,1.9898,2.26071,2.53099,2.9136,4.08637,6.09269,6.60444,7.5418,9.7316,11.3608
10	227.534	41.9492	253.707	310.476	2.76735,3.47574,3.9462,4.44568,5.10081,7.13186,10.5637,11.2755,12.9956,16.5883,19.1665
17.7828	227.501	41.9709	265.757	325.424	4.5659,6.00358,6.8234,7.53464,8.71549,12.2901,17.6146,19.2123,21.7896,27.6078,31.4539
31.6228	227.245	42.0042	285.432	350.005	7.31692,10.0202,11.4633,12.8319,14.7573,20.7716,29.4284,31.9559,35.6429,44.5678,49.9599
56.2341	227.423	42.0477	316.183	388.833	11.4316,16.049,19.2746,21.4235,24.3555,34.1696,47.7586,51.5543,56.1325,69.376,76.9746
100	227.447	42.0961	361.875	447.414	17.6141,26.0949,31.3437,34.2759,38.5392,54.3835,74.9898,79.9848,86.1449,106.513,116.925
