Concentration(uM)	qNet95low,qNet90low,qNet80low,qNet70low,qNet60low,qNet_median(C/F),qNet60upp,qNet70upp,qNet80upp,qNet90upp,qNet95upp
0	0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176
0.001	0.0690157,0.069016,0.0690163,0.0690165,0.0690166,0.0690169,0.0690171,0.0690172,0.0690172,0.0690173,0.0690174
0.00177828	0.0690142,0.0690149,0.0690154,0.0690157,0.0690159,0.0690165,0.0690168,0.0690169,0.069017,0.0690172,0.0690174
0.00316228	0.069012,0.069013,0.0690139,0.0690144,0.0690147,0.0690157,0.0690164,0.0690165,0.0690167,0.0690169,0.0690172
0.00562341	0.0690081,0.0690098,0.0690114,0.0690122,0.0690128,0.0690144,0.0690156,0.0690158,0.0690161,0.0690166,0.0690171
0.01	0.0690013,0.0690043,0.069007,0.0690084,0.0690095,0.0690122,0.0690144,0.0690148,0.0690153,0.0690161,0.0690169
0.0177828	0.0689892,0.0689946,0.0689994,0.069002,0.0690038,0.0690085,0.0690123,0.069013,0.0690139,0.0690155,0.0690171
0.0316228	0.068968,0.0689774,0.0689861,0.0689906,0.0689938,0.0690022,0.0690088,0.0690099,0.0690115,0.0690145,0.0690174
0.0562341	0.0689303,0.0689471,0.0689623,0.0689703,0.0689761,0.0689911,0.0690025,0.0690044,0.0690072,0.0690125,0.0690181
0.1	0.0688633,0.0688932,0.0689203,0.0689344,0.0689446,0.0689713,0.0689909,0.0689945,0.069,0.0690094,0.0690194
0.177828	0.0687444,0.0687975,0.0688466,0.0688706,0.0688884,0.0689362,0.0689707,0.0689773,0.068987,0.0690038,0.0690216
0.316228	0.0685339,0.0686279,0.068713,0.0687573,0.0687881,0.0688737,0.0689347,0.0689468,0.0689635,0.0689939,0.0690257
0.562341	0.0681625,0.0683284,0.0684786,0.068557,0.068611,0.068763,0.0688706,0.0688922,0.0689219,0.0689762,0.0690328
1	0.0675107,0.067802,0.0680657,0.0682045,0.0682993,0.0685672,0.0687582,0.0687959,0.0688484,0.0689459,0.0690456
1.77828	0.0663787,0.0668851,0.0673427,0.0675903,0.067753,0.0682223,0.0685584,0.0686263,0.0687243,0.0688924,0.0690674
3.16228	0.0644463,0.0653419,0.0661006,0.0665261,0.0668081,0.0676189,0.0682104,0.0683301,0.0685043,0.0687999,0.0691077
5.62341	0.0612391,0.0626914,0.0639919,0.0647161,0.0651889,0.0665763,0.0676175,0.0678273,0.0681199,0.0686467,0.0691638
10	0.0561721,0.0584596,0.0605056,0.0617451,0.0625331,0.0648124,0.0666025,0.0669831,0.067465,0.0684042,0.0692478
17.7828	0.0486535,0.0520437,0.0552493,0.0570981,0.0582697,0.0619299,0.0649306,0.0656358,0.0664137,0.0679901,0.069376
31.6228	0.0389099,0.0433897,0.0475853,0.0502352,0.0518477,0.0574708,0.0623564,0.0635472,0.0647741,0.0673598,0.0697691
56.2341	0.0267022,0.0318565,0.0373002,0.0408875,0.0432515,0.0511073,0.0586742,0.0605339,0.0624953,0.0664207,0.0702412
100	0.0112392,0.0184746,0.0244991,0.0293817,0.0324221,0.0429373,0.0535013,0.0563929,0.0592433,0.0650105,0.0690686
