Concentration(uM)	qNet95low   qNet90low   qNet80low   qNet70low   qNet60low   qNet_median(C/F)   qNet60upp   qNet70upp   qNet80upp   qNet90upp   qNet95upp
0	0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176
0.001	0.0689963   0.0689997   0.069004   0.0690057   0.0690072   0.0690108   0.0690132   0.0690138   0.0690143   0.0690149   0.0690155
0.00177828	0.0689803   0.0689863   0.0689939   0.0689969   0.0689995   0.0690057   0.0690099   0.0690109   0.0690117   0.0690128   0.069014
0.00316228	0.0689522   0.0689628   0.0689762   0.0689813   0.068986   0.0689969   0.069004   0.0690057   0.0690073   0.0690093   0.0690114
0.00562341	0.0689023   0.0689211   0.0689448   0.0689539   0.0689622   0.0689814   0.0689937   0.0689966   0.0689995   0.0690031   0.0690069
0.01	0.0688136   0.068847   0.0688891   0.0689053   0.0689199   0.068954   0.0689756   0.0689808   0.0689859   0.068992   0.0689987
0.0177828	0.0686566   0.0687157   0.0687903   0.068819   0.0688449   0.0689055   0.068943   0.0689523   0.0689612   0.068972   0.068984
0.0316228	0.0683792   0.0684834   0.0686152   0.0686661   0.0687119   0.0688193   0.0688852   0.0689015   0.0689174   0.0689366   0.0689579
0.0562341	0.0678918   0.0680746   0.0683062   0.0683959   0.0684767   0.0686667   0.0687825   0.0688114   0.0688397   0.0688739   0.0689115
0.1	0.0670431   0.0673601   0.0677639   0.067921   0.0680627   0.068397   0.0686007   0.0686519   0.0687019   0.0687624   0.0688294
0.177828	0.0655882   0.0661281   0.0668217   0.0670934   0.0673392   0.0679227   0.0682799   0.0683701   0.0684584   0.0685652   0.0686836
0.316228	0.0631598   0.064051   0.0652123   0.0656732   0.0660917   0.0670959   0.0677169   0.0678749   0.0680299   0.0682172   0.0684263
0.562341	0.0592793   0.060678   0.0625462   0.0632983   0.0639884   0.0656761   0.0667393   0.0670125   0.0672818   0.0676074   0.0679739
1	0.0534807   0.0555102   0.0583336   0.0594909   0.060572   0.0632984   0.0650707   0.065534   0.0659929   0.0665501   0.0671857
1.77828	0.0455913   0.0482357   0.0521295   0.0537829   0.0553385   0.0594784   0.062306   0.0630659   0.0638195   0.0647509   0.0658323
3.16228	0.0360055   0.0390388   0.0437661   0.0459386   0.0479438   0.0537211   0.0579376   0.0591338   0.0602918   0.0617839   0.0635641
5.62341	0.0255586   0.028632   0.0337505   0.0362133   0.0385331   0.0457859   0.0515006   0.0532283   0.0548918   0.0571304   0.0599071
10	0.0146192   0.0177542   0.0228142   0.0254222   0.0280167   0.0359646   0.042928   0.0451448   0.0472895   0.0503556   0.0543473
17.7828	0.00130072   0.00619471   0.0112486   0.0142031   0.0167089   0.0249841   0.032613   0.0351802   0.0376541   0.0414155   0.0465551
31.6228	-0.0283181   -0.0234735   -0.0198201   0.00086455   0.00414643   0.0133403   0.0213677   0.0238412   0.0267685   0.030822   0.0367217
56.2341	-1.79769e+308   -1.79769e+308   -1.79769e+308   -0.0280707   -0.0240167   -0.0253428   0.00940833   0.0120683   0.0149823   0.0193038   0.0254958
100	-1.79769e+308   -1.79769e+308   -1.79769e+308   -1.79769e+308   -1.79769e+308   -1.79769e+308   -0.00620435   0.00392821   0.0101262   0.0127235   0.0142605
