Concentration(uM)	Concentration(uM)	UpstrokeVelocity(mV/ms)	PeakVm(mV)	APD50(ms)	APD90(ms)	dAp95%low,dAp90%low,dAp80%low,dAp70%low,dAp60%low,median_delta_APD90,dAp60%upp,dAp70%upp,dAp80%upp,dAp90%upp,dAp95%upp
0	227.582	41.9181	236.936	289.807	0,0,0,0,0,0,0,0,0,0,0
0.001	227.579	41.9182	236.956	289.833	0.00319604,0.00408866,0.0050583,0.00571911,0.00634156,0.00914985,0.0140742,0.0162147,0.0183555,0.0244879,0.0295562
0.00177828	227.57	41.9183	236.971	289.854	0.00565419,0.00711415,0.00897549,0.0101678,0.0112886,0.0162822,0.025026,0.0286223,0.032665,0.0435735,0.0519942
0.00316228	227.565	41.9184	236.999	289.891	0.0101227,0.0129364,0.0159903,0.0180795,0.0200695,0.0289856,0.0445618,0.051364,0.0580721,0.0775163,0.0935436
0.00562341	227.553	41.9186	237.048	289.956	0.0180343,0.0230016,0.0284307,0.0321224,0.0356728,0.0515885,0.0792803,0.0913734,0.103402,0.137859,0.166286
0.01	227.534	41.919	237.134	290.073	0.0320508,0.0409148,0.0505186,0.0572099,0.0635119,0.0917853,0.140968,0.161068,0.183823,0.244992,0.295459
0.0177828	227.493	41.9197	237.289	290.28	0.0569741,0.0727513,0.0898887,0.101806,0.112838,0.163203,0.250462,0.288721,0.326614,0.435051,0.524607
0.0316228	227.421	41.921	237.562	290.647	0.101293,0.129342,0.159768,0.180964,0.2007,0.29004,0.444895,0.512681,0.579782,0.771645,0.930053
0.0562341	227.299	41.9232	238.048	291.3	0.180026,0.229661,0.283845,0.321539,0.356526,0.515053,0.789456,0.909267,1.02776,1.36581,1.64502
0.1	227.083	41.9271	238.906	292.454	0.319862,0.40833,0.5038,0.570948,0.63276,0.91353,1.39852,1.60875,1.81725,2.40885,2.89769
0.177828	226.696	41.934	240.418	294.493	0.567929,0.724789,0.893789,1.01269,1.1213,1.61699,2.47018,2.8344,3.19721,4.22223,5.06852
0.316228	226.018	41.9461	243.062	298.072	1.00721,1.28467,1.58188,1.79269,1.98177,2.85199,4.34097,4.95963,5.5913,7.32404,8.77986
0.562341	224.832	41.9668	247.626	304.297	1.78248,2.27133,2.7908,3.16259,3.48925,4.99978,7.56288,8.5794,9.65376,12.4858,14.9366
1	222.8	42.0018	255.34	314.954	3.14323,3.9985,4.89485,5.53926,6.09851,8.67708,13.0012,14.5861,16.3526,20.7619,24.5882
1.77828	224.317	42.0578	267.937	332.755	5.50865,6.98808,8.52051,9.56003,10.5369,14.8197,21.8606,24.3128,27.0528,33.508,38.9833
3.16228	228.795	42.1419	287.452	361.457	9.54205,12.0692,14.5655,16.2915,17.8878,24.7234,35.4034,38.8708,43.4813,51.7809,59.8161
5.62341	234.594	42.2558	315.571	405.771	16.3132,20.4725,24.5327,27.2242,29.5516,40.0143,55.3268,59.4629,67.1138,77.4889,87.7267
10	240.934	42.3907	352.783	471.583	27.212,33.8806,39.9229,44.3927,47.425,62.7232,84.0057,90.6431,100.55,113.861,129.7
17.7828	246.546	42.7111	397.995	568.07	44.0958,54.3776,63.0833,70.1325,73.5387,96.0167,126.27,137.109,152.459,174.498,210.489
31.6228	250.33	43.1572	451.122	715.169	70.5726,84.2957,97.8209,107.532,113.134,146.774,200.916,225.207,328.289,350.933,399.196
56.2341	243.566	42.8098	521.39	1359.27	112.652,131.766,150.223,166.005,176.199,369.027,375.73,410.448,795.529,826.957,851.636
100	250.718	43.3896	1790.11	2743.68	34.918,37.3785,166.041,219.295,297.74,846.728,858.887,869.759,881.609,902.974,926.368
