Concentration(uM)	Concentration(uM)	UpstrokeVelocity(mV/ms)	PeakVm(mV)	APD50(ms)	APD90(ms)	dAp95%low,dAp90%low,dAp80%low,dAp70%low,dAp60%low,median_delta_APD90,dAp60%upp,dAp70%upp,dAp80%upp,dAp90%upp,dAp95%upp
0	227.582	41.9181	236.936	289.807	0,0,0,0,0,0,0,0,0,0,0
0.001	227.581	41.9181	236.961	289.838	0.00371624,0.00462038,0.00574972,0.00660596,0.00693344,0.0108239,0.0160307,0.0201243,0.0227762,0.0305104,0.0363112
0.00177828	227.583	41.918	236.98	289.863	0.00667515,0.00823842,0.0102903,0.0118097,0.0124061,0.0193128,0.0285548,0.0358299,0.0405681,0.054298,0.0646234
0.00316228	227.583	41.918	237.015	289.907	0.011936,0.0146839,0.0183255,0.0210483,0.0220658,0.0344083,0.0508259,0.0637838,0.0721533,0.0965569,0.114923
0.00562341	227.581	41.9179	237.077	289.984	0.0212969,0.0260941,0.0325978,0.0374851,0.0392369,0.061225,0.0904267,0.113438,0.128274,0.171679,0.204299
0.01	227.582	41.9178	237.186	290.123	0.0379597,0.0464126,0.0579523,0.0666988,0.0698081,0.108912,0.16077,0.201677,0.227949,0.304991,0.362906
0.0177828	227.58	41.9175	237.38	290.368	0.0676465,0.0825128,0.103017,0.118625,0.124202,0.193628,0.285699,0.356893,0.404883,0.541334,0.644061
0.0316228	227.579	41.917	237.725	290.804	0.120276,0.146662,0.183111,0.210882,0.220942,0.344082,0.507368,0.635963,0.718501,0.95933,1.14106
0.0562341	227.572	41.9161	238.337	291.577	0.213745,0.260665,0.325302,0.374715,0.393039,0.610926,0.899948,1.1272,1.27307,1.69574,2.01585
0.1	227.565	41.9146	239.421	292.947	0.379645,0.46304,0.577557,0.665262,0.699241,1.0834,1.59306,1.99275,2.24947,2.9838,3.54369
0.177828	227.556	41.9117	241.331	295.363	0.673738,0.821905,1.02469,1.17951,1.24208,1.9171,2.81024,3.50747,3.9559,5.20957,6.17746
0.316228	227.532	41.9064	244.678	299.602	1.19385,1.45691,1.81612,2.08654,2.19774,3.37972,4.92834,6.12807,6.90153,8.97817,10.6224
0.562341	227.496	41.8965	250.483	306.967	2.10992,2.57628,3.23516,3.67678,3.87427,5.92111,8.56474,10.5791,11.8865,15.1563,17.884
1	227.435	41.8776	260.385	319.566	3.71254,4.53709,5.68373,6.4375,6.78686,10.2685,14.8429,17.9332,20.0784,24.8147,29.4191
1.77828	227.338	41.8395	276.866	340.617	6.48636,8.03738,9.90164,11.1434,11.7695,17.5323,25.0506,29.6403,32.7789,40.4006,47.5405
3.16228	227.221	41.7618	303.435	374.676	11.2109,13.7621,17.0231,18.8524,20.0856,29.2847,40.845,47.4811,52.5517,63.0403,71.3354
5.62341	227.076	41.6071	344.763	427.641	19.0828,23.3911,28.8459,31.7339,33.5323,47.5607,65.0852,73.4312,81.5719,93.0609,105.547
10	226.956	41.3293	406.8	506.263	32.3782,38.9342,47.3517,51.5615,54.4299,74.6897,96.9773,109.196,119.664,133.957,158.202
17.7828	226.847	40.939	496.009	616.217	52.491,62.7494,74.6262,80.098,83.822,112.63,141.368,159.006,171.274,200.984,229.222
31.6228	226.671	40.5492	615.932	757.99	82.1039,96.7498,110.201,116.982,122.626,161.55,200.975,211.118,246.521,536.917,804.823
56.2341	227.752	40.3156	758.441	920.278	119.937,139.384,147.394,160.799,166.269,217.549,259.777,278.159,316.301,822.847,847.568
100	230.818	40.2511	891.511	1070.18	161.171,184.545,191.724,203.606,214.077,269.275,305.983,327.305,414.93,850.431,875.443
