Concentration(uM)	qNet95low   qNet90low   qNet80low   qNet70low   qNet60low   qNet_median(C/F)   qNet60upp   qNet70upp   qNet80upp   qNet90upp   qNet95upp
0	0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176
0.001	0.0689894   0.0689994   0.0690017   0.0690045   0.0690067   0.0690116   0.0690189   0.0690201   0.0690221   0.0690273   0.06903
0.00177828	0.0689678   0.0689862   0.0689894   0.0689947   0.0689984   0.0690077   0.0690207   0.0690229   0.0690264   0.0690358   0.0690406
0.00316228	0.0689291   0.0689625   0.0689682   0.0689775   0.0689838   0.069001   0.0690238   0.0690278   0.0690341   0.0690508   0.0690605
0.00562341	0.0688604   0.0689206   0.0689307   0.0689471   0.0689584   0.0689888   0.0690293   0.0690358   0.0690478   0.0690773   0.0690923
0.01	0.0687387   0.0688461   0.0688642   0.0688933   0.0689133   0.0689674   0.0690392   0.0690501   0.0690719   0.0691244   0.069151
0.0177828	0.068523   0.0687137   0.0687464   0.0687978   0.0688333   0.0689292   0.0690567   0.0690754   0.0691147   0.069208   0.0692546
0.0316228	0.0681427   0.0684806   0.0685388   0.0686287   0.0686919   0.0688618   0.0690876   0.06912   0.0691901   0.0693557   0.0694386
0.0562341	0.0674763   0.068073   0.0681752   0.0683309   0.0684426   0.0687431   0.0691417   0.0691986   0.0693222   0.0696154   0.0697626
0.1	0.0663212   0.0673717   0.067546   0.0678096   0.0680067   0.068536   0.0692373   0.0693364   0.0695509   0.0700684   0.0703295
0.177828	0.0643697   0.0661667   0.0664682   0.0669084   0.0672817   0.0681791   0.069401   0.0695728   0.0699389   0.0708544   0.0713079
0.316228	0.0613938   0.0641469   0.0646559   0.0653836   0.0661591   0.0675808   0.0696626   0.0699565   0.0705749   0.0721847   0.0728542
0.562341	0.0569562   0.0609378   0.0618116   0.0630983   0.0643147   0.0666196   0.0699544   0.0705327   0.0715599   0.0743539   0.0751873
1	0.051324   0.056231   0.0576128   0.0594385   0.0613182   0.0651935   0.0704092   0.0714821   0.0730229   0.0773858   0.0787092
1.77828	0.0458823   0.0503511   0.0523174   0.0553826   0.0579514   0.0633673   0.071178   0.0727536   0.0746922   0.081338   0.0837183
3.16228	0.0410151   0.0444825   0.0478175   0.0516062   0.0540231   0.0616737   0.0721366   0.0736143   0.0761652   0.0854652   0.0892169
5.62341	0.0389584   0.0418098   0.0454285   0.0497239   0.0525092   0.0614496   0.0737925   0.0757801   0.078901   0.0892771   0.0937112
10	0.0422804   0.0435055   0.047298   0.0520477   0.0540624   0.0646601   0.0771959   0.0802378   0.0835724   0.092904   0.0999783
17.7828	0.0481754   0.0521775   0.0548646   0.057975   0.0619221   0.0726341   0.0844117   0.0861941   0.0907347   0.0982423   0.105636
31.6228	0.0607187   0.0633236   0.0682408   0.0708442   0.0738333   0.0844154   0.0939433   0.0961651   0.0995813   0.104728   0.111676
56.2341	0.0739189   0.0781458   0.082765   0.0852918   0.0869601   0.0972912   0.104712   0.106547   0.108494   0.111371   0.117605
100	0.0886622   0.0921928   0.0971528   0.0991904   0.100413   0.108704   0.113391   0.114684   0.115656   0.118149   0.120113
