Concentration(uM)	qNet95low,qNet90low,qNet80low,qNet70low,qNet60low,qNet_median(C/F),qNet60upp,qNet70upp,qNet80upp,qNet90upp,qNet95upp
0	0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176
0.001	0.0689894,0.0689945,0.0690003,0.0690019,0.0690038,0.0690079,0.0690113,0.069012,0.0690127,0.0690134,0.0690143
0.00177828	0.0689682,0.0689773,0.0689876,0.0689911,0.0689941,0.0690012,0.069007,0.0690081,0.0690096,0.069011,0.0690134
0.00316228	0.0689307,0.0689467,0.068965,0.0689704,0.0689762,0.0689893,0.0689994,0.0690012,0.0690037,0.0690058,0.0690096
0.00562341	0.0688641,0.0688922,0.0689247,0.0689344,0.0689448,0.0689682,0.0689858,0.0689889,0.0689934,0.0689974,0.0690042
0.01	0.068746,0.0687956,0.0688532,0.0688705,0.0688881,0.0689304,0.068961,0.0689674,0.0689753,0.0689824,0.0689947
0.0177828	0.0685369,0.068624,0.0687263,0.0687563,0.0687877,0.0688636,0.0689171,0.0689286,0.0689428,0.0689559,0.0689776
0.0316228	0.0681683,0.06832,0.0685014,0.068554,0.0686094,0.0687448,0.0688391,0.0688594,0.0688847,0.0689084,0.0689473
0.0562341	0.0675231,0.0677835,0.0681036,0.0681994,0.0682935,0.0685344,0.0687005,0.0687365,0.0687815,0.0688235,0.0688934
0.1	0.0664064,0.0668424,0.0674036,0.0675758,0.0677359,0.0681625,0.0684553,0.0685185,0.0685987,0.0686732,0.0687975
0.177828	0.0645118,0.065207,0.0661802,0.0664824,0.0667579,0.0675082,0.0680225,0.0681323,0.0682758,0.068407,0.068627
0.316228	0.0614003,0.0624119,0.06407,0.0645945,0.0650685,0.0663665,0.0672632,0.0674503,0.0677079,0.0679376,0.0683234
0.562341	0.0565438,0.0580574,0.0605094,0.0614035,0.0622431,0.0644016,0.0659443,0.0662525,0.0667175,0.067115,0.0677829
1	0.0489201,0.0515899,0.0549147,0.0564864,0.0575531,0.0610957,0.0636931,0.0641679,0.0650152,0.0656895,0.0668199
1.77828	0.0377184,0.0428254,0.0461261,0.0489771,0.0501977,0.0557273,0.0599606,0.0606424,0.0619798,0.0632639,0.0651037
3.16228	0.0230871,0.0308929,0.0344315,0.0376241,0.0396875,0.0474384,0.0538565,0.05497,0.0572249,0.0587491,0.0620568
5.62341	0.00460362,0.0148237,0.0186931,0.0221589,0.025675,0.0354198,0.0446257,0.0462417,0.0496971,0.052365,0.0567458
10	-0.0477344,-0.00715412,-0.00080397,0.002227,0.00611345,0.0191205,0.0318561,0.0333397,0.0387218,0.0432331,0.0479725
17.7828	-1.79769e+308,-1.79769e+308,-0.0505636,-0.0369835,-0.0221681,-0.00167044,0.0154304,0.018417,0.0254214,0.0315088,0.0407207
31.6228	-1.79769e+308,-1.79769e+308,-1.79769e+308,-0.0998309,-0.0815147,-0.030108,0.00113718,0.0100055,0.0188669,0.0626153,0.0808636
56.2341	-1.79769e+308,-1.79769e+308,-1.79769e+308,-0.0841416,-0.0782762,0.0771258,-0.0129841,0.00741768,0.057904,0.0796888,0.0896645
100	-1.79769e+308,-1.79769e+308,-1.79769e+308,-0.0995637,-0.0892018,0.0646357,-0.011087,0.00562565,0.0188384,0.0595395,0.065169
