Concentration(uM)	qNet95low   qNet90low   qNet80low   qNet70low   qNet60low   qNet_median(C/F)   qNet60upp   qNet70upp   qNet80upp   qNet90upp   qNet95upp
0	0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176
0.001	0.0689911   0.0689949   0.0689991   0.0690015   0.0690034   0.0690079   0.0690112   0.069012   0.0690127   0.0690139   0.0690149
0.00177828	0.0689713   0.0689781   0.0689856   0.0689897   0.0689931   0.0690012   0.0690069   0.0690081   0.0690096   0.0690118   0.0690136
0.00316228	0.0689361   0.0689482   0.0689614   0.0689689   0.0689749   0.0689893   0.0689991   0.0690014   0.0690041   0.0690079   0.0690108
0.00562341	0.0688736   0.0688953   0.0689186   0.0689319   0.0689424   0.0689682   0.0689851   0.0689889   0.068994   0.069001   0.0690063
0.01	0.0687627   0.0688012   0.0688417   0.0688663   0.0688848   0.0689304   0.0689604   0.0689672   0.0689763   0.0689887   0.0689983
0.0177828	0.0685664   0.0686345   0.0687056   0.0687496   0.0687825   0.0688636   0.0689168   0.0689278   0.0689449   0.0689671   0.0689841
0.0316228	0.0682198   0.0683402   0.0684658   0.0685427   0.0686013   0.0687448   0.0688388   0.0688587   0.0688892   0.0689287   0.0689587
0.0562341	0.0676113   0.0678232   0.0680436   0.068177   0.0682802   0.0685344   0.0687001   0.0687363   0.06879   0.0688607   0.0689137
0.1	0.0665536   0.0669175   0.0673034   0.0675331   0.067715   0.0681625   0.068455   0.0685193   0.0686135   0.0687393   0.0688326
0.177828	0.0647451   0.0653478   0.0660162   0.0664079   0.0667219   0.0675082   0.0680242   0.0681355   0.0683015   0.0685223   0.0686857
0.316228	0.0617369   0.0626831   0.0638197   0.0644672   0.0650067   0.0663665   0.0672669   0.0674661   0.0677515   0.0681338   0.0684166
0.562341	0.0569652   0.0585278   0.060197   0.0612436   0.0620724   0.0644016   0.0659457   0.0663121   0.0667704   0.067432   0.0679176
1	0.0497634   0.0517537   0.0545062   0.0559956   0.0573153   0.0610957   0.0637356   0.0643198   0.0650857   0.0661138   0.0669987
1.77828	0.0392726   0.0417421   0.0458019   0.0481047   0.0498755   0.0557273   0.0599202   0.0610384   0.0622225   0.0638848   0.0653605
3.16228	0.0243129   0.0282498   0.0340466   0.0366418   0.0392109   0.0474384   0.0538305   0.0553946   0.0574922   0.060049   0.062365
5.62341	0.0050159   0.0107203   0.0183037   0.0212108   0.0245703   0.0354198   0.0444295   0.0472036   0.05006   0.0538863   0.0577261
10	-0.027929   -0.0145138   -0.0034466   0.00129714   0.00551863   0.0191205   0.032031   0.0350729   0.0391623   0.044849   0.0495187
17.7828	-1.79769e+308   -1.79769e+308   -0.0730439   -0.0452449   -0.0218038   -0.00167044   0.0166338   0.0201153   0.0257856   0.0351679   0.0437015
31.6228	-1.79769e+308   -1.79769e+308   -1.79769e+308   -1.79769e+308   -0.088535   -0.030108   0.00299197   0.00972304   0.0210264   0.0573382   0.0736428
56.2341	-1.79769e+308   -1.79769e+308   -1.79769e+308   -0.0828301   -0.0762351   0.0771258   -0.00790904   0.0011719   0.0227895   0.0757525   0.0834302
100	-1.79769e+308   -1.79769e+308   -1.79769e+308   -0.102889   -0.0913298   0.0646357   -0.00320785   0.0104777   0.0559965   0.0645961   0.0680454
