Concentration(uM)	Concentration_Drug_1(uM)	Concentration_Drug_2(uM)	UpstrokeVelocity(mV/ms)	PeakVm(mV)	APD50(ms)	APD90(ms)	dAp95%low,dAp90%low,dAp80%low,dAp70%low,dAp60%low,median_delta_APD90,dAp60%upp,dAp70%upp,dAp80%upp,dAp90%upp,dAp95%upp
0	227.582	41.9181	236.936	289.807	0,0,0,0,0,0,0,0,0,0,0
0.001	227.584	41.9181	236.967	289.846	0.00591995,0.00731093,0.00832654,0.0089526,0.00966039,0.0133421,0.019842,0.0222544,0.0247374,0.0330742,0.0400573
0.00177828	227.584	41.9181	236.991	289.876	0.010555,0.0130534,0.0148589,0.0159919,0.0172529,0.0237849,0.0353439,0.0396357,0.0440419,0.0588582,0.0712922
0.00316228	227.579	41.918	237.034	289.93	0.0188891,0.0232062,0.0262185,0.0285053,0.0306869,0.0423378,0.0628946,0.0705104,0.078386,0.104694,0.126789
0.00562341	227.582	41.918	237.11	290.025	0.0336048,0.0412683,0.0470926,0.0507623,0.0546562,0.0753542,0.111869,0.12542,0.139396,0.186122,0.225362
0.01	227.581	41.9179	237.245	290.195	0.0597217,0.0733869,0.0837121,0.0903181,0.0972472,0.134037,0.198917,0.222991,0.247739,0.330707,0.400319
0.0177828	227.581	41.9177	237.486	290.498	0.106184,0.130467,0.148816,0.160641,0.173012,0.238326,0.353478,0.396283,0.440083,0.587068,0.710434
0.0316228	227.577	41.9173	237.913	291.035	0.188782,0.231924,0.264472,0.285638,0.307784,0.4236,0.627649,0.703743,0.78118,1.04073,1.25866
0.0562341	227.574	41.9167	238.672	291.988	0.335584,0.412211,0.469793,0.506256,0.547597,0.752533,1.11311,1.24828,1.38471,1.84057,2.2236
0.1	227.564	41.9157	240.016	293.678	0.596391,0.732328,0.833857,0.902551,0.974544,1.33571,1.96997,2.21255,2.44853,3.24169,3.90899
0.177828	227.549	41.9137	242.392	296.668	1.05935,1.30006,1.47893,1.60646,1.73539,2.36735,3.47385,3.91418,4.31164,5.66906,6.81522
0.316228	227.527	41.9099	246.574	301.936	1.88001,2.30504,2.63134,2.85181,3.09312,4.18534,6.08871,6.89863,7.55984,9.84674,11.7602
0.562341	227.485	41.9029	253.884	311.163	3.33145,4.0782,4.66491,5.04876,5.51003,7.36895,10.5677,12.0107,13.2553,17.0265,20.0355
1	227.417	41.8886	266.523	327.163	5.88866,7.19041,8.21684,8.91728,9.6938,12.89,18.1965,20.5024,23.0369,28.333,33.3986
1.77828	227.315	41.8582	288.06	354.536	10.367,12.6106,14.3743,15.7513,16.94,22.3353,31.3938,34.3091,38.8886,45.8868,54.3807
3.16228	227.181	41.7921	324.193	400.629	17.9916,22.3484,24.8882,27.5348,29.423,38.2399,52.5537,56.5444,62.7558,72.551,87.2004
5.62341	227.06	41.6497	384.254	477.16	30.9961,38.2291,42.6593,47.7371,50.8276,64.6477,87.8085,91.2965,101.26,113.472,144.364
10	227.036	41.4824	484.39	603.106	54.0599,64.9207,72.2513,81.1235,84.8047,108.106,142.905,147.969,162.218,182.648,407.069
17.7828	227.174	41.0901	659.184	812.815	91.5773,108.336,117.257,133.402,141.377,180.468,253.639,273.288,410.275,773.738,816.14
31.6228	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2
56.2341	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2
100	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2
