Concentration(uM)	qNet95low,qNet90low,qNet80low,qNet70low,qNet60low,qNet_median(C/F),qNet60upp,qNet70upp,qNet80upp,qNet90upp,qNet95upp
0	0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176
0.001	0.0689923,0.0689967,0.0690005,0.0690026,0.0690045,0.0690088,0.0690122,0.0690129,0.0690137,0.069015,0.0690159
0.00177828	0.0689735,0.0689813,0.068988,0.0689918,0.068995,0.0690029,0.0690087,0.0690098,0.0690113,0.0690135,0.0690152
0.00316228	0.06894,0.0689539,0.0689659,0.0689726,0.0689782,0.0689922,0.0690023,0.0690043,0.0690069,0.0690107,0.0690139
0.00562341	0.0688805,0.0689052,0.0689265,0.0689382,0.0689485,0.0689733,0.0689906,0.0689946,0.0689991,0.069006,0.0690118
0.01	0.0687751,0.0688188,0.0688568,0.0688766,0.0688953,0.0689396,0.0689703,0.0689774,0.0689854,0.0689975,0.0690078
0.0177828	0.0685884,0.0686658,0.0687329,0.0687673,0.0688004,0.0688798,0.0689342,0.0689468,0.0689608,0.0689825,0.0690015
0.0316228	0.0682591,0.0683955,0.0685138,0.0685742,0.0686321,0.0687738,0.06887,0.0688918,0.0689171,0.0689561,0.0689898
0.0562341	0.0676812,0.0679208,0.0681277,0.0682329,0.0683343,0.0685859,0.0687554,0.0687939,0.0688399,0.068909,0.0689678
0.1	0.0666759,0.0670902,0.0674517,0.0676352,0.067812,0.0682543,0.0685525,0.0686211,0.0687035,0.0688255,0.0689268
0.177828	0.0649568,0.0656493,0.066278,0.0665973,0.0669051,0.0676718,0.0681962,0.0683152,0.0684627,0.0686777,0.0688482
0.316228	0.0620999,0.063203,0.0642797,0.0648265,0.0653486,0.0666581,0.0675733,0.067777,0.0680409,0.0684117,0.0687108
0.562341	0.0577291,0.0591841,0.0609781,0.0618882,0.0627554,0.0649222,0.0664944,0.0668378,0.0672988,0.0679173,0.0684533
1	0.0509401,0.0532905,0.0557719,0.0572088,0.0584609,0.0620269,0.0646185,0.0652205,0.0660079,0.0670344,0.0679565
1.77828	0.0419261,0.0445633,0.0480466,0.0501717,0.0519728,0.0573934,0.0615889,0.0625128,0.0638666,0.065439,0.0669689
3.16228	0.0293719,0.0331101,0.0376573,0.0404112,0.0428069,0.0504129,0.0567355,0.0581265,0.0602962,0.0624969,0.0649552
5.62341	0.0151437,0.0193719,0.0249913,0.0284789,0.0309979,0.0406674,0.0495137,0.0518609,0.0546883,0.0578795,0.0612988
10	-0.00365908,0.00230285,0.00930279,0.0135129,0.016597,0.0281462,0.0403066,0.0430722,0.0465412,0.0511915,0.0558076
17.7828	-1.79769e+308,-0.0437892,-0.0116249,-0.00500594,-0.00125402,0.0132748,0.028671,0.0321957,0.0357388,0.0422697,0.0488482
31.6228	-1.79769e+308,-1.79769e+308,-1.79769e+308,-0.0760787,-0.0505193,-0.00342501,0.0175754,0.0218598,0.0269141,0.038408,0.0577144
56.2341	-1.79769e+308,-1.79769e+308,-1.79769e+308,-1.79769e+308,-0.0825855,-0.0223415,0.0119589,0.0187505,0.0366653,0.0717169,0.0843106
100	-1.79769e+308,-1.79769e+308,-1.79769e+308,-1.79769e+308,-1.79769e+308,-1.79769e+308,0.0117383,0.0220819,0.0552876,0.0736217,0.0784198
