Concentration(uM)	Concentration_Drug_1(uM)	Concentration_Drug_2(uM)	UpstrokeVelocity(mV/ms)	PeakVm(mV)	APD50(ms)	APD90(ms)	dAp95%low,dAp90%low,dAp80%low,dAp70%low,dAp60%low,median_delta_APD90,dAp60%upp,dAp70%upp,dAp80%upp,dAp90%upp,dAp95%upp
0	227.582	41.9181	236.936	289.807	0,0,0,0,0,0,0,0,0,0,0
0.001	227.582	41.9181	236.964	289.842	0.00499664,0.00576419,0.00670398,0.00756586,0.00831664,0.0120058,0.0187034,0.020925,0.0238645,0.0317548,0.0387499
0.00177828	227.582	41.9181	236.985	289.869	0.00890338,0.0103129,0.0119574,0.0134972,0.0148143,0.0214364,0.0333188,0.0372806,0.0424654,0.0541377,0.0689295
0.00316228	227.581	41.9182	237.023	289.918	0.0158252,0.0184063,0.0213124,0.0240239,0.0264208,0.0381655,0.0592909,0.0663533,0.075599,0.100524,0.122619
0.00562341	227.582	41.9182	237.091	290.004	0.0281365,0.0327559,0.0379066,0.0427738,0.0469852,0.0679195,0.105394,0.118005,0.134394,0.178687,0.217981
0.01	227.581	41.9183	237.213	290.157	0.050016,0.0583082,0.0673782,0.076101,0.0835459,0.120836,0.187312,0.209801,0.238848,0.317487,0.387236
0.0177828	227.581	41.9185	237.428	290.429	0.0889294,0.103658,0.119797,0.135343,0.148555,0.214817,0.332794,0.37286,0.424266,0.56356,0.687324
0.0316228	227.576	41.9188	237.809	290.913	0.158108,0.184242,0.212909,0.240661,0.264062,0.381751,0.590805,0.662195,0.752986,0.998903,1.2177
0.0562341	227.574	41.9193	238.487	291.772	0.281029,0.327149,0.378337,0.42776,0.46928,0.677967,1.04748,1.17476,1.3344,1.76604,2.14991
0.1	227.567	41.9201	239.686	293.292	0.499564,0.580283,0.671867,0.759917,0.833508,1.20265,1.85301,2.08017,2.35857,3.10859,3.77541
0.177828	227.554	41.9216	241.801	295.978	0.898608,1.02648,1.19193,1.34891,1.4792,2.12937,3.26515,3.67168,4.15009,5.43069,6.56983
0.316228	227.534	41.9241	245.514	300.698	1.6131,1.8099,2.11072,2.39102,2.62392,3.75788,5.71497,6.44617,7.24746,9.3689,11.2642
0.562341	227.496	41.9282	251.967	308.922	2.85521,3.20235,3.76794,4.22814,4.64472,6.59575,9.89218,11.1877,12.5038,15.8428,18.8854
1	227.439	41.9334	263.017	323.063	5.0368,5.65678,6.8066,7.54043,8.2306,11.4753,16.8259,19.1671,21.1363,26.0094,31.239
1.77828	222.537	41.9517	281.499	346.878	8.83637,10.0683,11.9882,13.291,14.3294,19.6928,28.1141,31.6169,34.4963,42.3368,50.1798
3.16228	227.249	41.9339	311.752	386.088	15.3696,17.3923,20.9128,22.9006,24.6267,33.2226,45.5305,51.0145,56.1457,64.7694,78.0798
5.62341	227.15	41.9001	359.765	448.682	26.3998,29.8969,34.9214,38.6634,41.8026,54.821,74.3188,81.3844,89.1022,99.3436,118.786
10	227.129	41.9313	434.417	545.925	44.5627,51.0386,59.7152,64.2557,69.2005,88.3754,115.404,125.279,134.185,151.066,199.126
17.7828	227.219	41.8833	550.471	693.285	73.4698,84.7078,94.2257,103.22,109.179,139.223,178.278,193.66,204.42,383.371,779.42
31.6228	227.368	41.4146	742.523	919.433	109.286,119.991,139.76,153.244,162.809,217.257,289.171,556.73,798.908,813.949,826.211
56.2341	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2
100	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2	NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2,NoActionPotential_2
