Concentration(uM)	qNet95low   qNet90low   qNet80low   qNet70low   qNet60low   qNet_median(C/F)   qNet60upp   qNet70upp   qNet80upp   qNet90upp   qNet95upp
0	0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176
0.001	0.0689905   0.0689956   0.0690014   0.0690026   0.0690048   0.0690088   0.0690122   0.0690128   0.0690136   0.0690144   0.0690155
0.00177828	0.0689715   0.0689793   0.0689896   0.0689918   0.0689956   0.0690029   0.0690087   0.0690095   0.0690108   0.0690123   0.0690148
0.00316228	0.0689345   0.0689504   0.0689686   0.0689726   0.0689794   0.0689922   0.0690026   0.0690038   0.0690062   0.0690089   0.0690134
0.00562341	0.0688708   0.0688991   0.068931   0.0689384   0.0689506   0.0689733   0.0689911   0.0689936   0.0689981   0.069003   0.0690109
0.01	0.0687578   0.0688079   0.0688639   0.0688777   0.0688993   0.0689396   0.0689707   0.0689753   0.0689838   0.0689925   0.0690065
0.0177828	0.068558   0.0686465   0.0687447   0.0687697   0.0688083   0.0688798   0.0689344   0.0689427   0.0689583   0.0689737   0.0689987
0.0316228	0.0682061   0.0683615   0.0685333   0.0685779   0.068647   0.0687738   0.0688707   0.0688859   0.068913   0.0689403   0.068985
0.0562341	0.0675907   0.0678609   0.06816   0.0682393   0.0683616   0.0685859   0.0687576   0.0687812   0.0688327   0.0688806   0.0689601
0.1	0.0665281   0.0669896   0.0675037   0.0676437   0.0678589   0.0682543   0.0685574   0.0685984   0.0686899   0.0687738   0.0689161
0.177828	0.0647327   0.0654975   0.0663654   0.0665982   0.0669796   0.0676718   0.068204   0.0682758   0.0684371   0.0685819   0.0688372
0.316228	0.0618066   0.0630103   0.0644283   0.0648448   0.0654606   0.0666581   0.0675902   0.0677096   0.0679901   0.0682344   0.0686956
0.562341	0.0573038   0.0589959   0.0612236   0.0619076   0.06289   0.0649222   0.0665191   0.0667264   0.0672032   0.0676097   0.0683818
1	0.0509354   0.0527728   0.0561614   0.057235   0.0586823   0.0620269   0.0646939   0.0651121   0.0658269   0.066616   0.0677067
1.77828	0.0424388   0.0443677   0.0486694   0.0497316   0.0521293   0.0573934   0.0616761   0.0623356   0.0634493   0.0647986   0.0662354
3.16228	0.0300329   0.0339858   0.0384988   0.0404272   0.0427967   0.0504129   0.0569171   0.0577894   0.0597256   0.0621556   0.0636196
5.62341	0.0142895   0.0211742   0.0258332   0.028863   0.0313793   0.0406674   0.0497692   0.0515755   0.0535617   0.0568608   0.0604135
10	-0.00200786   0.00410662   0.0112028   0.0140852   0.0165907   0.0281462   0.0397822   0.0430571   0.0444805   0.0488871   0.0535048
17.7828	-1.79769e+308   -0.046919   -0.00699451   -0.0032168   -0.000309333   0.0132748   0.0290188   0.0320441   0.0341392   0.0386432   0.0482233
31.6228	-1.79769e+308   -1.79769e+308   -1.79769e+308   -0.0759065   -0.0549087   -0.00342501   0.0181237   0.0206352   0.0251339   0.037875   0.0501115
56.2341	-1.79769e+308   -1.79769e+308   -1.79769e+308   -1.79769e+308   -0.0855189   -0.0223415   0.00629918   0.0147093   0.0215407   0.0453734   0.0809599
100	-1.79769e+308   -1.79769e+308   -1.79769e+308   -1.79769e+308   -1.79769e+308   -1.79769e+308   0.010955   0.0196299   0.0400133   0.0696599   0.0786416
