Concentration(uM)	Concentration_Drug_1(uM)	Concentration_Drug_2(uM)	UpstrokeVelocity(mV/ms)	PeakVm(mV)	APD50(ms)	APD90(ms)	dAp95%low,dAp90%low,dAp80%low,dAp70%low,dAp60%low,median_delta_APD90,dAp60%upp,dAp70%upp,dAp80%upp,dAp90%upp,dAp95%upp
0	227.582	41.9181	236.936	289.807	0,0,0,0,0,0,0,0,0,0,0
0.001	227.583	41.9178	237.119	290.041	0.0282477,0.0311977,0.0420539,0.0482056,0.0533677,0.0809377,0.13888,0.153468,0.170636,0.21676,0.262545
0.00177828	227.583	41.9176	237.262	290.224	0.0503007,0.0554758,0.0766978,0.0866652,0.0949634,0.14395,0.246844,0.272741,0.303192,0.385003,0.466236
0.00316228	227.58	41.9172	237.516	290.548	0.0894909,0.0986123,0.136661,0.15405,0.168851,0.255851,0.438362,0.484353,0.531449,0.683083,0.826919
0.00562341	227.578	41.9166	237.965	291.124	0.159164,0.175322,0.242583,0.273817,0.300085,0.454482,0.77751,0.859183,0.954282,1.20962,1.46351
0.01	227.574	41.9153	238.762	292.144	0.283043,0.311658,0.431273,0.486563,0.532994,0.806498,1.37618,1.52108,1.68779,2.13523,2.58108
0.0177828	227.57	41.9131	240.169	293.947	0.503204,0.553825,0.766437,0.863322,0.945644,1.42873,2.42714,2.68369,2.97284,3.74824,4.5229
0.0316228	227.563	41.909	242.64	297.121	0.894295,0.983704,1.36128,1.52903,1.67476,2.52365,4.2545,4.70733,5.19967,6.51849,7.84365
0.0562341	227.548	41.9014	246.944	302.661	1.58857,1.76157,2.41551,2.69984,2.99715,4.43532,7.38142,8.17668,8.98827,11.1644,13.3744
0.1	227.526	41.887	254.325	312.208	2.81934,3.25914,4.28368,4.74222,5.2749,7.72972,12.5963,13.9826,15.2486,18.6761,22.2302
0.177828	227.496	41.8581	266.688	328.32	4.99651,5.7458,7.58055,8.30483,9.16429,13.2892,20.9618,23.3606,25.22,30.2101,35.6859
0.316228	227.473	41.7983	286.672	354.668	8.83195,10.4392,13.2947,14.5549,15.8911,22.3806,33.6719,37.7917,40.2973,46.7844,54.981
0.562341	227.494	41.6731	317.498	395.935	15.5316,18.735,23.0309,24.7391,26.8238,36.6203,52.8713,58.7619,62.2304,68.7797,80.1229
1	227.657	41.4241	362.562	457.14	26.997,31.3537,38.8897,41.5168,44.0192,57.7395,79.4916,86.7907,92.0673,100.476,110.389
1.77828	228.079	41.0452	424.717	541.797	45.727,50.4011,62.1261,66.1536,68.9305,86.9509,115.173,122.68,128.884,142.772,150.857
3.16228	228.869	40.4762	504.712	647.55	73.8448,80.0841,93.3381,97.6552,102.957,123.442,154.302,161.961,171.364,195.223,228.137
5.62341	230.173	40.0227	593.883	759.496	107.058,118.958,126.128,134.223,138.817,162.07,196.631,203.873,218.275,238.623,370.549
10	232.392	39.7067	673.491	854.439	142.24,150.031,160.521,165.696,170.801,194.831,232.069,239.942,254.423,295.195,784.745
17.7828	236.15	39.4677	735.331	925.829	168.824,176.75,185.49,190.724,193.851,219.464,257.805,265.994,278.328,290.237,811.775
31.6228	241.727	39.1737	785.87	982.514	189.006,199.034,205.764,211.2,216.742,239.024,272.341,279.085,287.291,302.086,322.359
56.2341	246.867	38.6271	829.14	1028.56	205.697,219.299,225.099,231.003,235.667,254.911,281.618,285.613,292.153,301.484,313.884
100	241.26	37.5639	864.957	1062.42	225.261,235.58,244.672,248.738,251.864,266.595,284.67,288.031,292.398,298.933,306.598
