Concentration(uM)	qNet95low   qNet90low   qNet80low   qNet70low   qNet60low   qNet_median(C/F)   qNet60upp   qNet70upp   qNet80upp   qNet90upp   qNet95upp
0	0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176
0.001	0.0688486   0.0688751   0.068905   0.0689219   0.0689323   0.0689645   0.068985   0.0689888   0.0689935   0.0690026   0.069009
0.00177828	0.0687186   0.0687651   0.0688185   0.0688481   0.0688669   0.068924   0.0689601   0.0689666   0.0689762   0.0689917   0.0690032
0.00316228	0.0684888   0.0685699   0.0686651   0.0687175   0.0687501   0.0688521   0.0689163   0.0689277   0.0689436   0.0689722   0.0689926
0.00562341	0.0680841   0.0682255   0.0683939   0.0684871   0.0685435   0.0687248   0.0688382   0.0688588   0.0688869   0.0689376   0.0689738
0.01	0.0673777   0.0676215   0.0679166   0.0680809   0.0681794   0.0684995   0.0686992   0.068736   0.0687863   0.0688758   0.0689401
0.0177828	0.0661609   0.0665755   0.067083   0.0673728   0.0675409   0.068103   0.0684536   0.0685189   0.0686081   0.0687646   0.0688793
0.0316228	0.0641135   0.0648017   0.0656472   0.0661488   0.0664394   0.0674101   0.0680214   0.0681365   0.0682931   0.0685665   0.0687661
0.0562341	0.0607991   0.0618628   0.063297   0.0640827   0.0645706   0.0662152   0.0672681   0.0674688   0.0677377   0.0682146   0.0685631
0.1	0.0556829   0.0573107   0.0594898   0.0607173   0.06155   0.0642004   0.0659715   0.0663163   0.066769   0.0675888   0.0681682
0.177828	0.0484887   0.0506374   0.0536453   0.0554838   0.0568485   0.0609273   0.063783   0.0643816   0.0651065   0.0664534   0.0674558
0.316228	0.0392245   0.042097   0.045782   0.0483562   0.0500421   0.0559116   0.0602493   0.0612344   0.0623269   0.0643706   0.0661171
0.562341	0.0296302   0.0323806   0.0363702   0.0390297   0.0413993   0.0488439   0.0550199   0.0561503   0.057867   0.0609382   0.0635221
1	0.0183007   0.0219166   0.0261937   0.0288391   0.0310712   0.0398819   0.0474816   0.0490891   0.0511616   0.0551846   0.0587924
1.77828	0.00753671   0.0118306   0.0158509   0.0181522   0.0201712   0.0297151   0.0380527   0.0400021   0.0423912   0.0470514   0.0506448
3.16228	-0.00557894   0.000369443   0.00491232   0.00745571   0.0101241   0.0192663   0.0279154   0.0298989   0.0321309   0.0363961   0.0407416
5.62341	-0.0300116   -0.0116411   -0.00621769   -0.00309677   -0.00073454   0.00935755   0.0185045   0.0202798   0.0223351   0.0258878   0.0296641
10	-0.0510138   -0.0252227   -0.0172757   -0.0131523   -0.009982   0.000465645   0.0101956   0.0118978   0.0137641   0.0175634   0.0198774
17.7828	-0.0446169   -0.0328214   -0.0257193   -0.0215103   -0.0185839   -0.00760922   0.00252447   0.00421524   0.00649906   0.010083   0.0131938
31.6228	-0.0438906   -0.0368894   -0.0311732   -0.0280474   -0.0254923   -0.0150231   -0.00554864   -0.0039818   -0.000494699   0.00366247   0.00718189
56.2341	-0.0435364   -0.0384887   -0.0344727   -0.0320959   -0.0301777   -0.0213461   -0.0134494   -0.0117168   -0.00869946   -0.00434288   -0.000473093
100	-0.0434379   -0.0391209   -0.0365483   -0.0342849   -0.0330074   -0.0263284   -0.0204616   -0.0191755   -0.0166947   -0.0124133   -0.00897142
