Concentration(uM)	qNet95low,qNet90low,qNet80low,qNet70low,qNet60low,qNet_median(C/F),qNet60upp,qNet70upp,qNet80upp,qNet90upp,qNet95upp
0	0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176
0.001	0.068858,0.0688831,0.0689008,0.0689162,0.0689298,0.0689645,0.0689859,0.0689899,0.0689976,0.0690094,0.0690197
0.00177828	0.0687345,0.0687797,0.0688108,0.0688383,0.0688624,0.068924,0.0689618,0.0689688,0.0689821,0.0690038,0.0690221
0.00316228	0.068516,0.0685967,0.0686514,0.0687002,0.0687429,0.0688521,0.0689192,0.0689319,0.0689545,0.0689938,0.0690263
0.00562341	0.0681307,0.0682738,0.0683699,0.0684564,0.0685313,0.0687248,0.0688436,0.0688661,0.0689053,0.0689759,0.0690338
0.01	0.0674565,0.0677076,0.0678754,0.0680269,0.0681587,0.0684995,0.0687096,0.0687496,0.0688182,0.0689438,0.0690465
0.0177828	0.0662907,0.0667256,0.0670152,0.0672772,0.0675102,0.068103,0.0684726,0.0685434,0.0686638,0.0688852,0.0690679
0.0316228	0.0643158,0.0650539,0.0655425,0.0659881,0.066398,0.0674101,0.0680548,0.0681786,0.0683906,0.0687768,0.0691017
0.0562341	0.0610835,0.0622952,0.06309,0.0638248,0.0645387,0.0662152,0.0673233,0.0675391,0.0679095,0.0685522,0.0691465
0.1	0.0560762,0.0579676,0.0591863,0.0603156,0.0615601,0.0642004,0.0660752,0.0664294,0.0670693,0.0681691,0.0689186
0.177828	0.0489144,0.0516786,0.0533929,0.0549355,0.0567429,0.0609273,0.0639275,0.0645272,0.0656155,0.0673534,0.0683908
0.316228	0.0396785,0.0431649,0.0456051,0.0476734,0.0500501,0.0559116,0.0606527,0.0614033,0.0631614,0.0657027,0.0671624
0.562341	0.0290188,0.0324993,0.0364902,0.0382202,0.0408255,0.0488439,0.0556277,0.056455,0.0592881,0.0629347,0.0646239
1	0.0186141,0.0208468,0.0262034,0.0284715,0.0299281,0.0398819,0.048066,0.0498059,0.0531512,0.0570053,0.059318
1.77828	0.00679227,0.0111614,0.0149086,0.0173291,0.0193841,0.0297151,0.0388349,0.04066,0.0452566,0.0481858,0.0522473
3.16228	-0.00445792,-0.000976852,0.00480034,0.00700278,0.00934635,0.0192663,0.0277822,0.0302605,0.0335338,0.037508,0.0422332
5.62341	-0.0228525,-0.0101418,-0.00577748,-0.00392381,-0.00160435,0.00935755,0.0182264,0.0201352,0.0240451,0.0266018,0.029923
10	-0.0354948,-0.0242081,-0.0178819,-0.0145664,-0.0112437,0.000465645,0.0101924,0.0117517,0.0138577,0.01782,0.0206548
17.7828	-1.79769e+308,-0.0295609,-0.0253471,-0.0238134,-0.0192756,-0.00760922,0.00238848,0.00438676,0.00629361,0.00892342,0.0143085
31.6228	-0.0376001,-0.0355146,-0.0311927,-0.0297604,-0.0263132,-0.0150231,-0.0059926,-0.00329366,-0.00105737,0.00230796,0.00610732
56.2341	-0.0402706,-0.0386265,-0.0348271,-0.0330402,-0.0308193,-0.0213461,-0.0136554,-0.0108835,-0.00857133,-0.00613449,-0.000572382
100	-0.0417137,-0.0403047,-0.0365022,-0.0346376,-0.0333646,-0.0263284,-0.0207422,-0.018601,-0.0163602,-0.0141084,-0.00815375
