Concentration(uM)	qNet95low,qNet90low,qNet80low,qNet70low,qNet60low,qNet_median(C/F),qNet60upp,qNet70upp,qNet80upp,qNet90upp,qNet95upp
0	0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176
0.001	0.0689866,0.0689934,0.0689985,0.0690014,0.0690036,0.0690078,0.0690122,0.0690128,0.0690137,0.0690148,0.0690156
0.00177828	0.0689634,0.0689753,0.0689846,0.0689896,0.0689932,0.069002,0.0690085,0.0690095,0.0690111,0.0690132,0.0690149
0.00316228	0.0689221,0.0689433,0.0689596,0.0689682,0.0689749,0.0689906,0.0690018,0.0690038,0.0690064,0.0690105,0.0690136
0.00562341	0.0688487,0.0688857,0.0689145,0.0689303,0.0689425,0.0689704,0.0689901,0.0689934,0.0689982,0.0690055,0.0690113
0.01	0.0687187,0.0687836,0.0688349,0.0688641,0.0688846,0.0689346,0.0689691,0.0689748,0.0689835,0.0689968,0.0690066
0.0177828	0.0684888,0.0686033,0.0686944,0.0687439,0.0687814,0.068871,0.0689317,0.068942,0.0689572,0.0689811,0.0689986
0.0316228	0.0680841,0.068285,0.0684458,0.0685333,0.0685985,0.0687581,0.0688654,0.0688836,0.0689103,0.0689534,0.0689838
0.0562341	0.0673769,0.067726,0.0680085,0.0681626,0.0682753,0.0685583,0.0687477,0.06878,0.0688268,0.0689039,0.0689574
0.1	0.0661584,0.0667534,0.067245,0.0675119,0.0677126,0.0682059,0.0685389,0.0685973,0.0686796,0.0688151,0.0689106
0.177828	0.0641068,0.0650887,0.0659309,0.0663894,0.0667424,0.0675883,0.0681697,0.0682755,0.0684194,0.0686551,0.0688274
0.316228	0.0607812,0.0623218,0.0637219,0.0644771,0.0650776,0.0665172,0.0675253,0.0677127,0.0679606,0.0683699,0.0686793
0.562341	0.0557029,0.0579856,0.0601466,0.0613308,0.0622745,0.0646939,0.0663888,0.0667361,0.0671575,0.0678665,0.068397
1	0.0485872,0.0516158,0.0546699,0.0564387,0.0578802,0.0616835,0.0644439,0.0650556,0.0657725,0.0669714,0.0678289
1.77828	0.0396412,0.0436049,0.0469149,0.0493854,0.0512773,0.0569445,0.0613182,0.0622525,0.0634323,0.0653261,0.0662907
3.16228	0.0286308,0.0327678,0.0368433,0.0396331,0.0422915,0.0499754,0.0563143,0.0577581,0.0595024,0.062123,0.0640218
5.62341	0.0165638,0.0210173,0.0251999,0.0282776,0.0309013,0.0405442,0.0489477,0.0508188,0.0533417,0.0569986,0.0594754
10	0.00338019,0.00668887,0.0120026,0.0150742,0.0173123,0.0287544,0.0386435,0.0411814,0.0442051,0.0492417,0.0528115
17.7828	-0.0133818,-0.00858048,-0.00360457,-0.00103245,0.00180998,0.0147292,0.0258351,0.028356,0.0315147,0.0374698,0.0431639
31.6228	-0.0363957,-0.0282073,-0.0227348,-0.0190706,-0.0164015,-0.00174946,0.0102888,0.0132959,0.0169074,0.0227764,0.0290274
56.2341	-1.79769e+308,-0.0592102,-0.0456453,-0.0406059,-0.0371805,-0.0211078,-0.00738873,-0.00473912,-0.00063267,0.00568431,0.0113746
100	-1.79769e+308,-1.79769e+308,-0.0699799,-0.0634046,-0.059802,-0.0431885,-0.0274322,-0.0240305,-0.0199524,-0.0137505,-0.00642418
